"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"da Silva Junior M.; de Freitas R.C.; dos Santos W.P.; da Silva W.W.A.; Rodrigues M.C.A.; Conde E.F.Q.","da Silva Junior, Maurício (57204740988); de Freitas, Rafaela Covello (57204694683); dos Santos, Wellington Pinheiro (57193746428); da Silva, Washington Wagner Azevedo (57204739178); Rodrigues, Marcelo Cairrão Araújo (7202521555); Conde, Erick Francisco Quintas (36696041900)","57204740988; 57204694683; 57193746428; 57204739178; 7202521555; 36696041900","Exploratory study of the effect of binaural beat stimulation on the EEG activity pattern in resting state using artificial neural networks","2019","Cognitive Systems Research","54","","","1","20","19","17","10.1016/j.cogsys.2018.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056931377&doi=10.1016%2fj.cogsys.2018.11.002&partnerID=40&md5=45837aa888265fde355cf59940f3f82c","Article","Final","","Scopus","2-s2.0-85056931377"
"Darbin O.; Hatanaka N.; Takara S.; Kaneko N.; Chiken S.; Naritoku D.; Martino A.; Nambu A.","Darbin, Olivier (6602675051); Hatanaka, Nobuhiko (7003685896); Takara, Sayuki (23968390700); Kaneko, Nobuya (57214826621); Chiken, Satomi (6603092883); Naritoku, Dean (7003367103); Martino, Anthony (7102757141); Nambu, Atsushi (16146090000)","6602675051; 7003685896; 23968390700; 57214826621; 6603092883; 7003367103; 7102757141; 16146090000","Parkinsonism Differently Affects the Single Neuronal Activity in the Primary and Supplementary Motor Areas in Monkeys: An Investigation in Linear and Nonlinear Domains","2020","International Journal of Neural Systems","30","2","2050010","","","","4","10.1142/S0129065720500100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078850217&doi=10.1142%2fS0129065720500100&partnerID=40&md5=8059d06d9d0041f48e17ca619c8aa52a","Article","Final","","Scopus","2-s2.0-85078850217"
"Li H.; Yao R.; Xia X.; Yin G.; Deng H.; Yang P.","Li, Haifang (59157712100); Yao, Rong (57209716707); Xia, Xiaoluan (56559176000); Yin, Guimei (57202837069); Deng, Hongxia (52163361700); Yang, Pengfei (57710117600)","59157712100; 57209716707; 56559176000; 57202837069; 52163361700; 57710117600","Adjustment of synchronization stability of dynamic brain-networks based on feature fusion","2019","Frontiers in Human Neuroscience","13","","98","","","","3","10.3389/fnhum.2019.00098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069541250&doi=10.3389%2ffnhum.2019.00098&partnerID=40&md5=27b469048d082466e052df6fb0ec8095","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85069541250"
"Niesen M.; Ghinst M.V.; Bourguignon M.; Wens V.; Bertels J.; Goldman S.; Choufani G.; Hassid S.; De Tiège X.","Niesen, Maxime (57208412346); Ghinst, Marc Vander (55293662900); Bourguignon, Mathieu (25957947000); Wens, Vincent (22954733400); Bertels, Julie (35298558800); Goldman, Serge (7402631861); Choufani, Georges (6603889938); Hassid, Sergio (7004492171); De Tiège, Xavier (6602385892)","57208412346; 55293662900; 25957947000; 22954733400; 35298558800; 7402631861; 6603889938; 7004492171; 6602385892","Tracking the effects of top–down attention on word discrimination using frequency-tagged neuromagnetic responses","2019","Journal of Cognitive Neuroscience","32","5","","877","888","11","6","10.1162/jocn_a_01522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082779617&doi=10.1162%2fjocn_a_01522&partnerID=40&md5=fff3f72cb14aee2e8170c53b977369fb","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85082779617"
"Bonnard D.; Schwalje A.; Gantz B.; Choi I.","Bonnard, Damien (54883331900); Schwalje, Adam (56798407600); Gantz, Bruce (7005078903); Choi, Inyong (13605293800)","54883331900; 56798407600; 7005078903; 13605293800","Electric and acoustic harmonic integration predicts speech-in-noise performance in hybrid cochlear implant users","2018","Hearing Research","367","","","223","230","7","3","10.1016/j.heares.2018.06.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049332089&doi=10.1016%2fj.heares.2018.06.016&partnerID=40&md5=aea48b6fcd38d0f0f351dece97433f9b","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85049332089"
"De Borst A.W.; De Gelder B.","De Borst, A.W. (35317540100); De Gelder, B. (55172605400)","35317540100; 55172605400","Mental imagery follows similar cortical reorganization as perception: Intra-modal and cross-modal plasticity in congenitally blind","2019","Cerebral Cortex","29","7","","2859","2875","16","11","10.1093/cercor/bhy151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069269122&doi=10.1093%2fcercor%2fbhy151&partnerID=40&md5=7635f6c24ae3b69e9f49871d59957c30","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85069269122"
"Chaieb L.; Derner M.; Leszczyński M.; Fell J.","Chaieb, Leila (23567434900); Derner, Marlene (57195527187); Leszczyński, Marcin (37034492200); Fell, Juergen (7103322403)","23567434900; 57195527187; 37034492200; 7103322403","Modulation of Mind Wandering Using Auditory Beat Stimulation: a Pilot Study","2020","Journal of Cognitive Enhancement","4","1","","40","48","8","10","10.1007/s41465-019-00137-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130043677&doi=10.1007%2fs41465-019-00137-4&partnerID=40&md5=c9c14b3f51aa6548f52ad0465eee5772","Article","Final","","Scopus","2-s2.0-85130043677"
"Celma-Miralles A.; Toro J.M.","Celma-Miralles, Alexandre (57188569632); Toro, Juan M. (7005020671)","57188569632; 7005020671","Ternary meter from spatial sounds: Differences in neural entrainment between musicians and non-musicians","2019","Brain and Cognition","136","","103594","","","","14","10.1016/j.bandc.2019.103594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070396789&doi=10.1016%2fj.bandc.2019.103594&partnerID=40&md5=8e80ee7908cba6f1ce705e05fa3e654c","Article","Final","","Scopus","2-s2.0-85070396789"
"Ignatious E.; Azam S.; Jonkman M.; De Boer F.","Ignatious, Eva (57221874938); Azam, Sami (54894635100); Jonkman, Mirjam (12809410500); De Boer, Friso (25649204700)","57221874938; 54894635100; 12809410500; 25649204700","Study of Correlation between EEG Electrodes for the Analysis of Cortical Responses Related to Binaural Hearing","2021","IEEE Access","9","","9420063","66282","66308","26","5","10.1109/ACCESS.2021.3076794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105088519&doi=10.1109%2fACCESS.2021.3076794&partnerID=40&md5=64aa90f5adc56c3b6bfe4e0db03b5c35","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85105088519"
"McDermott B.; Porter E.; Hughes D.; McGinley B.; Lang M.; O’Halloran M.; Jones M.","McDermott, Barry (57197771651); Porter, Emily (35090450400); Hughes, Diarmaid (57220782966); McGinley, Brian (6602606212); Lang, Mark (15822285000); O’Halloran, Martin (57217189264); Jones, Marggie (56405802600)","57197771651; 35090450400; 57220782966; 6602606212; 15822285000; 57217189264; 56405802600","Gamma Band Neural Stimulation in Humans and the Promise of a New Modality to Prevent and Treat Alzheimer’s Disease","2018","Journal of Alzheimer's Disease","65","2","","363","392","29","60","10.3233/JAD-180391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064818412&doi=10.3233%2fJAD-180391&partnerID=40&md5=42ad7557a8c207573249e186dcfe2c53","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85064818412"
"Zuk N.J.; Delgutte B.","Zuk, Nathaniel J. (57195071593); Delgutte, Bertrand (6701766119)","57195071593; 6701766119","Neural coding and perception of auditory motion direction based on interaural time differences","2019","Journal of Neurophysiology","122","4","","1821","1842","21","6","10.1152/jn.00081.2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073309914&doi=10.1152%2fjn.00081.2019&partnerID=40&md5=17277633169fd9d68e0662d6790218e0","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85073309914"
"Pluck G.; López-Águila M.A.","Pluck, Graham (6506948010); López-Águila, Marco Antonio (55974296000)","6506948010; 55974296000","Induction of fear but no effects on cognitive fluency by theta frequency auditory binaural beat stimulation","2019","Psychology and Neuroscience","12","1","","53","64","11","7","10.1037/pne0000166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060927666&doi=10.1037%2fpne0000166&partnerID=40&md5=54037b6380d808dadc99454cc0625905","Article","Final","","Scopus","2-s2.0-85060927666"
"Parodi A.; Fodde P.; Pellecchia T.; Puntoni M.; Fracchia E.; Mazzella M.","Parodi, Arianna (57218170544); Fodde, Paola (57218160168); Pellecchia, Teresa (57218166324); Puntoni, Matteo (24336395100); Fracchia, Enzo (6506890247); Mazzella, Massimo (57218170875)","57218170544; 57218160168; 57218166324; 24336395100; 6506890247; 57218170875","A randomized controlled study examining a novel binaural beat technique for treatment of preoperative anxiety in a group of women undergoing elective caesarean section","2020","Journal of Psychosomatic Obstetrics and Gynecology","","","","1","5","4","9","10.1080/0167482X.2020.1751607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088103381&doi=10.1080%2f0167482X.2020.1751607&partnerID=40&md5=a840383512b547f72241a1165a5a51a5","Article","Final","","Scopus","2-s2.0-85088103381"
"Lee S.; Kim J.; Tak S.","Lee, Seonjin (57218917506); Kim, Jooyeon (57200315136); Tak, Sungho (24071794300)","57218917506; 57200315136; 24071794300","Effects of Autonomous Sensory Meridian Response on the Functional Connectivity as Measured by Functional Magnetic Resonance Imaging","2020","Frontiers in Behavioral Neuroscience","14","","154","","","","9","10.3389/fnbeh.2020.00154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090792804&doi=10.3389%2ffnbeh.2020.00154&partnerID=40&md5=9520a965ec2049b1bcd62be10eec023a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85090792804"
"Hsieh I.-H.; Liu J.-W.; Liang Z.-J.","Hsieh, I-Hui (16642757700); Liu, Jia-Wei (55264608100); Liang, Zeng-Jie (57204481400)","16642757700; 55264608100; 57204481400","Spectrotemporal window of binaural integration in auditory object formation","2018","Hearing Research","370","","","155","167","12","0","10.1016/j.heares.2018.10.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055752369&doi=10.1016%2fj.heares.2018.10.013&partnerID=40&md5=32342196c1a758ad84a3d9ef1bf55e94","Article","Final","","Scopus","2-s2.0-85055752369"
"Garcia-Argibay M.; Santed M.A.; Reales J.M.","Garcia-Argibay, Miguel (57199176508); Santed, Miguel A. (6602617577); Reales, José M. (6601996868)","57199176508; 6602617577; 6601996868","Efficacy of binaural auditory beats in cognition, anxiety, and pain perception: a meta-analysis","2019","Psychological Research","83","2","","357","372","15","87","10.1007/s00426-018-1066-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051679743&doi=10.1007%2fs00426-018-1066-8&partnerID=40&md5=be7081219f7a840b848a41606ee4f39c","Article","Final","","Scopus","2-s2.0-85051679743"
"Górska U.; Binder M.","Górska, Urszula (55314674600); Binder, Marek (7103167415)","55314674600; 7103167415","Low- and medium-rate auditory steady-state responses in patients with prolonged disorders of consciousness correlate with Coma Recovery Scale - Revised score","2019","International Journal of Psychophysiology","144","","","56","62","6","7","10.1016/j.ijpsycho.2019.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070880368&doi=10.1016%2fj.ijpsycho.2019.08.001&partnerID=40&md5=3c7d1e505eb6c033245fe29a9ec0b4a8","Article","Final","","Scopus","2-s2.0-85070880368"
"Jacques C.; Jonas J.; Maillard L.; Colnat-Coulbois S.; Rossion B.; Koessler L.","Jacques, Corentin (56267958900); Jonas, Jacques (35114900100); Maillard, Louis (55252949000); Colnat-Coulbois, Sophie (23977523100); Rossion, Bruno (7003338090); Koessler, Laurent (16319028000)","56267958900; 35114900100; 55252949000; 23977523100; 7003338090; 16319028000","Fast periodic visual stimulation to highlight the relationship between human intracerebral recordings and scalp electroencephalography","2020","Human Brain Mapping","41","9","","2373","2388","15","6","10.1002/hbm.24952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082598914&doi=10.1002%2fhbm.24952&partnerID=40&md5=5d6dc656e065543962e95bc0ab68dc19","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85082598914"
"Teng X.; Poeppel D.","Teng, Xiangbin (57196478343); Poeppel, David (7003791677)","57196478343; 7003791677","Theta and Gamma Bands Encode Acoustic Dynamics over Wide-Ranging Timescales","2020","Cerebral Cortex","30","4","","2600","2614","14","30","10.1093/cercor/bhz263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083913949&doi=10.1093%2fcercor%2fbhz263&partnerID=40&md5=6a9d6d986df1a9fd08f5ea1993824158","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85083913949"
"Ungan P.; Yagcioglu S.; Ayik E.","Ungan, Pekcan (6701562334); Yagcioglu, Suha (6506295611); Ayik, Ece (57208902834)","6701562334; 6506295611; 57208902834","Event-related potentials to single-cycle binaural beats and diotic amplitude modulation of a tone","2019","Experimental Brain Research","237","8","","1931","1945","14","6","10.1007/s00221-019-05562-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066086267&doi=10.1007%2fs00221-019-05562-7&partnerID=40&md5=086ba7b66a44d208ded2fe60e9326fa2","Article","Final","","Scopus","2-s2.0-85066086267"
"Raghavendra U.; Acharya U.R.; Adeli H.","Raghavendra, U. (37079412500); Acharya, U. Rajendra (7004510847); Adeli, Hojjat (35612773100)","37079412500; 7004510847; 35612773100","Artificial Intelligence Techniques for Automated Diagnosis of Neurological Disorders","2020","European Neurology","82","1-3","","41","64","23","106","10.1159/000504292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075733586&doi=10.1159%2f000504292&partnerID=40&md5=1a0f257f31fe363bbca0c67255a2a571","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85075733586"
"Zuk N.J.; Carney L.H.; Lalor E.C.","Zuk, Nathaniel J. (57195071593); Carney, Laurel H. (7005132843); Lalor, Edmund C. (8843627500)","57195071593; 7005132843; 8843627500","Preferred tempo and low-audio-frequency bias emerge from simulated sub-cortical processing of sounds with a musical beat","2018","Frontiers in Neuroscience","12","MAY","349","","","","11","10.3389/fnins.2018.00349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047668143&doi=10.3389%2ffnins.2018.00349&partnerID=40&md5=706643171b3bc019009d83544c2de94b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85047668143"
"Weiss M.W.; Cirelli L.K.; Mcdermott J.H.; Trehub S.E.","Weiss, Michael W. (55416232800); Cirelli, Laura K. (55556339700); Mcdermott, Josh H. (7202518254); Trehub, Sandra E. (7006511891)","55416232800; 55556339700; 7202518254; 7006511891","Development of consonance preferences in western listeners","2020","Journal of Experimental Psychology: General","149","4","","634","649","15","16","10.1037/xge0000680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072612765&doi=10.1037%2fxge0000680&partnerID=40&md5=631e65e2f5fa8bd9a2aac615facef82e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85072612765"
"Jones M.; McDermott B.; Oliveira B.L.; O'Brien A.; Coogan D.; Lang M.; Moriarty N.; Dowd E.; Quinlan L.; McGinley B.; Dunne E.; Newell D.; Porter E.; Elahi M.A.; O'Halloran M.; Shahzad A.","Jones, Marggie (56405802600); McDermott, Barry (57197771651); Oliveira, Bárbara Luz (56381077900); O'Brien, Aoife (7102598495); Coogan, Declan (55211205700); Lang, Mark (15822285000); Moriarty, Niamh (57184045200); Dowd, Eilis (9744779300); Quinlan, Leo (6602354899); McGinley, Brian (6602606212); Dunne, Eoghan (57201326754); Newell, David (57209733581); Porter, Emily (35090450400); Elahi, Muhammad Adnan (34879711300); O'Halloran, Martin (15846128900); Shahzad, Atif (55991927800)","56405802600; 57197771651; 56381077900; 7102598495; 55211205700; 15822285000; 57184045200; 9744779300; 6602354899; 6602606212; 57201326754; 57209733581; 35090450400; 34879711300; 15846128900; 55991927800","Gamma Band Light Stimulation in Human Case Studies: Groundwork for Potential Alzheimer's Disease Treatment","2019","Journal of Alzheimer's Disease","70","1","","171","185","14","44","10.3233/JAD-190299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068551114&doi=10.3233%2fJAD-190299&partnerID=40&md5=d598b0a4d00e203745bec3165c2fb2cc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85068551114"
"Rea F.; Kothig A.; Grasse L.; Tata M.","Rea, Francesco (54386065400); Kothig, Austin (57210748983); Grasse, Lukas (57204041834); Tata, Matthew (7005632914)","54386065400; 57210748983; 57204041834; 7005632914","Speech Envelope Dynamics for Noise-Robust Auditory Scene Analysis in Robotics","2020","International Journal of Humanoid Robotics","17","6","2050023","","","","1","10.1142/S0219843620500231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100034142&doi=10.1142%2fS0219843620500231&partnerID=40&md5=9abe8966646c049d82f1bd1de100bdb4","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85100034142"
"Intra F.S.; Cagol M.; Basso D.; Cottini M.","Intra, Francesca Sangiuliano (6603123512); Cagol, Michele (57226146128); Basso, Demis (36466011800); Cottini, Milvia (56388733000)","6603123512; 57226146128; 36466011800; 56388733000","Can binaural beat stimulation support children’s sustained attention? A feasibility study","2020","Ricerche di Psicologia","43","4","","1153","1165","12","0","10.3280/RIP2020-004010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110652779&doi=10.3280%2fRIP2020-004010&partnerID=40&md5=6300933b85d420245dfae92c2110005f","Article","Final","","Scopus","2-s2.0-85110652779"
"Rojas-Álvarez S.A.; Valencia A.; Barrera-Valencia M.A.","Rojas-Álvarez, Sebastián Alonso (57217036381); Valencia, Ancizar (57217034838); Barrera-Valencia, Mauricio Alberto (54794764300)","57217036381; 57217034838; 54794764300","Placebo effect and binaural sound stimulation of beta wave and theta wave in a working memory task performance; [Efecto placebo y estimulación sonora binaural de ondas beta y theta en el rendimiento de una tarea de memoria de trabajo]","2020","Revista CES Psicologia","13","1","","32","51","19","1","10.21615/CESP.13.1.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085889397&doi=10.21615%2fCESP.13.1.3&partnerID=40&md5=67d6a843b3ddf592cea94b5ab5548fd1","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85085889397"
"Ortiz A.; Martinez-Murcia F.J.; Luque J.L.; Giménez A.; Morales-Ortega R.; Ortega J.","Ortiz, Andrés (18434650900); Martinez-Murcia, Francisco J. (55062058300); Luque, Juan L. (7102403963); Giménez, Almudena (55655623500); Morales-Ortega, Roberto (57194083790); Ortega, Julio (7402623866)","18434650900; 55062058300; 7102403963; 55655623500; 57194083790; 7402623866","Dyslexia Diagnosis by EEG Temporal and Spectral Descriptors: An Anomaly Detection Approach","2020","International Journal of Neural Systems","30","7","2050029","","","","33","10.1142/S012906572050029X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086260623&doi=10.1142%2fS012906572050029X&partnerID=40&md5=e25ad8e49d5e68ef98804557bfca0aa2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85086260623"
"Lindenfeld G.; Rozelle G.; Hummer J.; Sutherland M.R.; Miller J.C.","Lindenfeld, George (57209826091); Rozelle, George (57209833824); Hummer, John (57196746868); Sutherland, Michael R. (57209821565); Miller, James C. (55700330000)","57209826091; 57209833824; 57196746868; 57209821565; 55700330000","Remediation of PTSD in a combat veteran: A case study","2019","NeuroRegulation","6","2","","102","125","23","1","10.15540/nr.6.2.102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068871415&doi=10.15540%2fnr.6.2.102&partnerID=40&md5=fdc058bbcd2e0e146fbb42522a887e09","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85068871415"
"Al-Shargie F.; Tariq U.; Babiloni F.; Al-Nashash H.","Al-Shargie, Fares (56380565900); Tariq, Usman (56685261500); Babiloni, Fabio (7006787992); Al-Nashash, Hasan (6701686599)","56380565900; 56685261500; 7006787992; 6701686599","Cognitive Vigilance Enhancement Using Audio Stimulation of Pure Tone at 250 Hz","2021","IEEE Access","9","","9335936","22955","22970","15","14","10.1109/ACCESS.2021.3054785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100472041&doi=10.1109%2fACCESS.2021.3054785&partnerID=40&md5=f102e5b7833f18a3a1716824de13248f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85100472041"
"Fang F.; Potter T.; Nguyen T.; Zhang Y.","Fang, Feng (57209173303); Potter, Thomas (57038243400); Nguyen, Thinh (57214830735); Zhang, Yingchun (36452572400)","57209173303; 57038243400; 57214830735; 36452572400","Dynamic reorganization of the cortical functional brain network in affective processing and cognitive reappraisal","2020","International Journal of Neural Systems","30","10","2050051","","","","38","10.1142/S0129065720500513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091566610&doi=10.1142%2fS0129065720500513&partnerID=40&md5=cb9b5933ca56d19cea9cb6adabb6e4a9","Article","Final","","Scopus","2-s2.0-85091566610"
"Al-shargie F.; Tariq U.; Mir H.; Alawar H.; Babiloni F.; Al-nashash H.","Al-shargie, Fares (56380565900); Tariq, Usman (56685261500); Mir, Hasan (6602344716); Alawar, Hamad (55811173600); Babiloni, Fabio (7006787992); Al-nashash, Hasan (6701686599)","56380565900; 56685261500; 6602344716; 55811173600; 7006787992; 6701686599","Vigilance decrement and enhancement techniques: A review","2019","Brain Sciences","9","8","178","","","","53","10.3390/brainsci9080178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070439534&doi=10.3390%2fbrainsci9080178&partnerID=40&md5=1fdd7af9a687209ae1176401a032580d","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85070439534"
"Krizman J.; Kraus N.","Krizman, Jennifer (36183515300); Kraus, Nina (7102321398)","36183515300; 7102321398","Analyzing the FFR: A tutorial for decoding the richness of auditory function","2019","Hearing Research","382","","107779","","","","97","10.1016/j.heares.2019.107779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071847354&doi=10.1016%2fj.heares.2019.107779&partnerID=40&md5=5e4380a8c15e92f9a3d6788120f81bb2","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85071847354"
"Ibarra-Zarate D.; Alonso-Valerdi L.M.","Ibarra-Zarate, David (55234023500); Alonso-Valerdi, Luz María (49962954800)","55234023500; 49962954800","Acoustic therapies for tinnitus: The basis and the electroencephalographic evaluation","2020","Biomedical Signal Processing and Control","59","","101900","","","","16","10.1016/j.bspc.2020.101900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080049935&doi=10.1016%2fj.bspc.2020.101900&partnerID=40&md5=09b5e7625a4f6b9c4d4618a1b151f81f","Review","Final","","Scopus","2-s2.0-85080049935"
"Zulfiqar I.; Moerel M.; Formisano E.","Zulfiqar, Isma (56991156300); Moerel, Michelle (26028417400); Formisano, Elia (6701857315)","56991156300; 26028417400; 6701857315","Spectro-Temporal Processing in a Two-Stream Computational Model of Auditory Cortex","2020","Frontiers in Computational Neuroscience","13","","95","","","","15","10.3389/fncom.2019.00095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079064658&doi=10.3389%2ffncom.2019.00095&partnerID=40&md5=8ba1b508a757f422ae5c003be9ea7674","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85079064658"
"Lee M.; Shin G.-H.; Lee S.-W.","Lee, Minji (57196187332); Shin, Gi-Hwan (57212660751); Lee, Seong-Whan (7601390519)","57196187332; 57212660751; 7601390519","Frontal EEG Asymmetry of Emotion for the Same Auditory Stimulus","2020","IEEE Access","8","","9110839","107200","107213","13","36","10.1109/ACCESS.2020.3000788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086991784&doi=10.1109%2fACCESS.2020.3000788&partnerID=40&md5=26025c35b8248546eca77010b0f0587b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85086991784"
"Orozco Perez H.D.; Dumas G.; Lehmann A.","Orozco Perez, Hector D. (57195361473); Dumas, Guillaume (56865666700); Lehmann, Alexandre (55831591500)","57195361473; 56865666700; 55831591500","Binaural beats through the auditory pathway: From brainstem to connectivity patterns","2020","eNeuro","7","2","ENEURO.0232-19.2020","","","","41","10.1523/ENEURO.0232-19.2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082145641&doi=10.1523%2fENEURO.0232-19.2020&partnerID=40&md5=9ef93165e82404f213654860712259e8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85082145641"
"Lee H.; Müllensiefen D.","Lee, Harin (57226892883); Müllensiefen, Daniel (23019169400)","57226892883; 23019169400","The Timbre Perception Test (TPT): A new interactive musical assessment tool to measure timbre perception ability","2020","Attention, Perception, and Psychophysics","82","7","","3658","3675","17","10","10.3758/s13414-020-02058-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086401373&doi=10.3758%2fs13414-020-02058-3&partnerID=40&md5=9551a983c517a2ca5d9f18ce4c270626","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85086401373"
"Hanslmayr S.; Axmacher N.; Inman C.S.","Hanslmayr, Simon (6506938544); Axmacher, Nikolai (12789219500); Inman, Cory S. (48161613400)","6506938544; 12789219500; 48161613400","Modulating Human Memory via Entrainment of Brain Oscillations","2019","Trends in Neurosciences","42","7","","485","499","14","146","10.1016/j.tins.2019.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067264600&doi=10.1016%2fj.tins.2019.04.004&partnerID=40&md5=54dc4919b801f3d01298e8541877c351","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85067264600"
"Gálvez G.; Recuero M.; Canuet L.; Del-Pozo F.","Gálvez, Gerardo (56034043100); Recuero, Manuel (55884474700); Canuet, Leonides (24342842100); Del-Pozo, Francisco (55663615800)","56034043100; 55884474700; 24342842100; 55663615800","Short-Term Effects of Binaural Beats on EEG Power, Functional Connectivity, Cognition, Gait and Anxiety in Parkinson's Disease","2018","International Journal of Neural Systems","28","5","1750055","","","","46","10.1142/S0129065717500551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040351799&doi=10.1142%2fS0129065717500551&partnerID=40&md5=eff9164f3f20ae772747bce3e27f365b","Article","Final","","Scopus","2-s2.0-85040351799"
"Marcomini R.S.; Frizzo A.C.F.; de Góes V.B.; Regaçone S.F.; Garner D.M.; Raimundo R.D.; Oliveira F.R.; Valenti V.E.","Marcomini, Renata S. (55894490700); Frizzo, Ana Claúdia F. (6602739293); de Góes, Viviane B. (57203952120); Regaçone, Simone F. (56166008900); Garner, David M. (56034060000); Raimundo, Rodrigo D. (55491458200); Oliveira, Fernando R. (55615211300); Valenti, Vitor E. (26041072400)","55894490700; 6602739293; 57203952120; 56166008900; 56034060000; 55491458200; 55615211300; 26041072400","Association between heart rhythm and cortical sound processing","2018","Journal of Integrative Neuroscience","17","3","","229","236","7","0","10.31083/JIN-180079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116501854&doi=10.31083%2fJIN-180079&partnerID=40&md5=6ae9d54291840cbae962a7364454a1dd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85116501854"
"Witton C.; Swoboda K.; Shapiro L.R.; Talcott J.B.","Witton, Caroline (6701712893); Swoboda, Katy (57212767306); Shapiro, Laura R. (7402091585); Talcott, Joel B. (7006209587)","6701712893; 57212767306; 7402091585; 7006209587","Auditory frequency discrimination in developmental dyslexia: A meta-analysis","2020","Dyslexia","26","1","","36","51","15","13","10.1002/dys.1645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077375962&doi=10.1002%2fdys.1645&partnerID=40&md5=a454349c478fb56e6d8019329ef94d56","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85077375962"
